code,name,country_code,level,reputation
ENG1,Premier League,ENG,1,8
ENG2,Championship,ENG,2,4
ENG3,League One,ENG,3,2
ENG4,League Two,ENG,4,1
DE1,Bundesliga,DE,1,7
DE2,2. Bundesliga,DE,2,3
DE3,3. Liga,DE,3,1
ES1,LaLiga Santander,ES,1,8
ES2,LaLiga Smartbank,ES,2,4
IT1,Serie A,IT,1,7
IT2,Serie B,IT,2,3
FR1,Ligue 1,FR,1,6
FR2,Ligue 2,FR,2,2
PT1,Primeira Liga,PT,1,5
NL1,Eredivisie,NL,1,4
BE1,1A Pro League,BE,1,4
TR1,Süper Lig,TR,1,4
SW1,Allsvenskan,SW,1,2
NO1,Eliteserien,NO,1,2
PL1,Ekstraklasa,PL,1,2
RO1,Liga I,RO,1,2
AT1,Ö. Bundesliga,AT,1,3
CH1,Suisse Super League,CH,1,3
SCO1,Scottish Premiership,SCO,1,3
IL1,SSE Airtricity PD,IL,1,1
DK1,3F Superliga,DK,1,3
CN1,Chinese Super League,CN,1,2
IN1,Hero ISL,IN,1,1
AU1,Hyundai A-League,AU,1,2
KR1,K-League 1,KR,1,2
US1,MLS,US,1,3
BR1,Brasileirão,BR,1,4
AR1,Argentina Primera Div.,AR,1,4
SA1,Saudi Prof. League,SA,1,2
ZA1,South African Premier Division,ZA,1,1
GR1,Greek Super League,GR,1,3
AE1,UAE Pro League,AE,1,2
CY1,Cypriot First Divison,CY,1,2
HR1,Croatian 1.HNL,HR,1,2
UA1,Ukrainian League,UA,1,3
HU1,Hungarian NB1,HU,1,2
FI1,Veikkausliiga Finland,FI,1,1
CZ1,Czech 1st League,CZ,1,3
PE1,Peruvian Liga 1,PE,1,2
BO1,Bolivian Division Profesional,BO,1,2
VE1,Venezuelan Liga de Futbol,VE,1,2
PY1,Paraguayan Primera Division,PY,1,2
CL1,Chilean Campeonato,CL,1,2
EC1,Ecuadorian Liga Pro,EC,1,2
CO1,Colombian Liga Dimayor,CO,1,2
UY1,Uruguayan Primera Division,UY,1,2